aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ANC,AA,121,39.5,29.28,0.83,31.88,4
APN,OO,148,15.5,9.83,3.38,0.0,1
ASE,OO,1821,26.91,22.27,6.53,0.0,1
ATL,YX,309,6.17,3.9,1.62,-4.97,1
ATL,9E,6771,6.99,2.73,1.15,-4.15,2
ATL,DL,56905,9.48,5.71,0.85,-1.66,3
ATL,AS,317,10.52,8.25,1.89,-0.62,4
ATL,WN,8436,12.46,6.38,0.65,1.32,5
ATL,MQ,157,13.59,11.4,0.0,2.45,6
ATL,UA,1817,13.88,8.73,1.54,2.74,7
ATL,OH,588,16.38,13.14,1.7,5.24,8
ATL,AA,1876,19.65,15.81,1.92,8.51,9
ATL,NK,2500,20.37,13.97,2.08,9.23,10
ATL,B6,740,21.16,16.47,1.62,10.02,11
ATL,OO,2014,21.61,17.55,0.79,10.47,12
ATL,F9,2868,24.66,20.58,2.55,13.52,13
ATW,9E,35,-0.03,-2.26,0.0,-18.04,1
ATW,G4,284,9.56,3.81,3.17,-8.45,2
ATW,DL,99,11.71,4.7,1.01,-6.3,3
ATW,MQ,193,19.12,13.53,2.07,1.11,4
ATW,OO,896,21.86,18.75,2.46,3.85,5
AUS,YX,24,-3.79,-8.79,0.0,-18.41,1
AUS,OH,8,-2.0,-11.25,0.0,-16.62,2
AUS,9E,91,7.8,5.61,1.1,-6.82,3
AUS,HA,47,9.04,17.17,2.13,-5.58,4
AUS,AS,695,10.96,8.7,2.73,-3.66,5
AUS,WN,9361,12.02,5.87,0.62,-2.6,6
AUS,UA,2328,13.2,8.0,1.42,-1.42,7
AUS,DL,2756,15.09,8.35,1.02,0.47,8
AUS,MQ,570,15.41,13.66,1.23,0.79,9
AUS,AA,3373,19.31,16.29,1.93,4.69,10
AUS,OO,892,19.48,15.36,0.11,4.86,11
AUS,G4,253,21.38,16.35,3.16,6.76,12
AUS,F9,158,24.72,19.3,2.53,10.1,13
AUS,NK,288,25.27,18.23,1.04,10.65,14
AUS,B6,192,33.32,23.63,0.52,18.7,15
AVL,YX,284,3.83,-0.22,5.28,-13.55,1
AVL,OH,499,7.56,8.03,3.01,-9.82,2
AVL,UA,51,8.65,1.04,5.88,-8.73,3
AVL,DL,554,14.9,6.37,2.53,-2.48,4
AVL,OO,162,15.58,14.77,1.23,-1.8,5
AVL,9E,137,17.96,9.08,1.46,0.58,6
AVL,MQ,292,23.85,20.82,1.71,6.47,7
AVL,G4,789,24.59,21.16,3.55,7.21,8
AVL,B6,18,24.88,23.29,5.56,7.5,9
AVL,AA,124,43.09,37.13,8.87,25.71,10
AVP,OO,9,4.11,10.89,0.0,-11.83,1
AVP,AA,222,14.6,10.56,2.7,-1.34,2
AVP,MQ,104,17.65,11.51,0.0,1.71,3
AVP,OH,39,21.54,8.26,0.0,5.6,4
AZA,G4,1427,5.65,0.65,0.49,0.0,1
AZO,9E,3,-1.0,-9.67,0.0,-14.16,1
AZO,OO,212,13.37,8.65,0.94,0.21,2
BDL,YX,120,0.53,-4.43,0.0,-12.84,1
BDL,9E,90,4.58,-0.92,4.44,-8.79,2
BDL,MQ,126,7.02,4.18,1.59,-6.35,3
BDL,DL,959,7.29,-0.04,0.42,-6.08,4
BDL,UA,503,8.58,4.43,1.39,-4.79,5
BDL,AA,962,12.36,8.02,1.77,-1.01,6
BDL,NK,148,12.56,9.56,2.7,-0.81,7
BDL,WN,1009,12.72,4.89,0.3,-0.65,8
BDL,OH,359,14.86,10.72,3.34,1.49,9
BDL,B6,767,21.06,16.49,1.56,7.69,10
BDL,F9,214,40.63,36.1,2.34,27.26,11
BDL,OO,20,63.1,72.2,0.0,49.73,12
BET,AS,189,6.58,9.13,2.65,0.0,1
